SlideNumber,Region,ID,Age,Depth_bins,R1,MBP,MAP2,DAPI,BCAS1,depth,,,
391,CoS,3,108,50 — 60,1.3189223,37.772,9.7172588,,,60,,,
391,CoS,3,108,60 — 70,1.4193474,51.669444,6.2186824,,,70,,,
391,CoS,3,108,70 — 80,1.4386867,52.38575,8.1498588,,,80,,,
391,CoS,3,108,80 — 90,1.6073349,48.666222,10.968147,,,90,,,
391,CoS,3,108,90 — 100,1.8036356,34.012917,13.594518,,,100,,,
397 / 397 / 382 / 397,CoS,3,108,0 — 10,1.266797,22.839829,20.39775,,,10,,,
397 / 397 / 382 / 397,CoS,3,108,10 — 20,1.1663951,7.4750179,19.429375,,,20,,,
397 / 397 / 382 / 397,CoS,3,108,20 — 30,1.129026,5.1053571,18.944708,,,30,,,
397 / 397 / 382 / 397,CoS,3,108,30 — 40,1.1852603,7.2589643,18.88025,,,40,,,
397 / 397 / 382 / 397,CoS,3,108,40 — 50,1.2576959,13.636,12.1955,,,50,,,
397 / 397 / 382 / 397,CoS,3,108,50 — 60,1.3647321,25.883321,5.4115,,,60,,,
397 / 397 / 382 / 397,CoS,3,108,60 — 70,1.4629818,44.681911,7.995,,,70,,,
397 / 397 / 382 / 397,CoS,3,108,70 — 80,1.5443207,62.679839,11.67025,,,80,,,
397 / 397 / 382 / 397,CoS,3,108,80 — 90,1.7167081,76.058536,11.1235,,,90,,,
397 / 397 / 382 / 397,CoS,3,108,90 — 100,2.0539304,77.340657,15.693,,,100,,,
403 / 403 / 405 / 403,CoS,3,108,0 — 10,1.2285148,27.098938,2.7906667,,,10,,,
403 / 403 / 405 / 403,CoS,3,108,10 — 20,1.1832812,14.502708,2.1931667,,,20,,,
403 / 403 / 405 / 403,CoS,3,108,20 — 30,1.1951196,8.8011875,3.0685,,,30,,,
403 / 403 / 405 / 403,CoS,3,108,30 — 40,1.2590983,12.645708,3.026,,,40,,,
403 / 403 / 405 / 403,CoS,3,108,40 — 50,1.3087239,21.994719,2.3678333,,,50,,,
403 / 403 / 405 / 403,CoS,3,108,50 — 60,1.3523554,29.336292,2.9676667,,,60,,,
403 / 403 / 405 / 403,CoS,3,108,60 — 70,1.3929577,38.593375,4.1978,,,70,,,
403 / 403 / 405 / 403,CoS,3,108,70 — 80,1.484302,59.972083,3.5275,,,80,,,
403 / 403 / 405 / 403,CoS,3,108,80 — 90,1.6287014,70.424344,5.9433333,,,90,,,
403 / 403 / 405 / 403,CoS,3,108,90 — 100,1.8034435,53.130208,7.5668333,,,100,,,
99,CoS,4,300,0 — 10,1.3402234,32.9495,,,,10,,,
99,CoS,4,300,10 — 20,1.383084,36.7095,,,,20,,,
99,CoS,4,300,20 — 30,1.4165613,31.2015,,,,30,,,
99,CoS,4,300,30 — 40,1.5683264,29.37075,,,,40,,,
99,CoS,4,300,40 — 50,1.5683264,28.68125,,,,50,,,
99,CoS,4,300,50 — 60,1.622193,28.68125,,,,60,,,
99,CoS,4,300,60 — 70,1.6476663,28.89,,,,70,,,
99,CoS,4,300,70 — 80,1.6833663,37.79775,,,,80,,,
99,CoS,4,300,80 — 90,1.9201835,50.6405,,,,90,,,
99,CoS,4,300,90 — 100,1.9534342,51.9725,,,,100,,,
122 / 122 / 135 / 135,CoS,4,300,0 — 10,1.4616376,35.645875,4.8575,,,10,,,
122 / 122 / 135 / 135,CoS,4,300,10 — 20,1.463868,15.15625,7.415625,,,20,,,
122 / 122 / 135 / 135,CoS,4,300,20 — 30,1.5793893,13.583917,10.73275,,,30,,,
122 / 122 / 135 / 135,CoS,4,300,30 — 40,1.6245492,12.193688,12.205333,,,40,,,
122 / 122 / 135 / 135,CoS,4,300,40 — 50,1.6411288,8.0575833,11.788625,,,50,,,
122 / 122 / 135 / 135,CoS,4,300,50 — 60,1.6940843,15.764938,14.6295,,,60,,,
122 / 122 / 135 / 135,CoS,4,300,60 — 70,1.7191375,22.388167,18.16275,,,70,,,
122 / 122 / 135 / 135,CoS,4,300,70 — 80,1.8710525,28.330688,22.874333,,,80,,,
122 / 122 / 135 / 135,CoS,4,300,80 — 90,2.0167506,41.521583,28.16425,,,90,,,
122 / 122 / 135 / 135,CoS,4,300,90 — 100,2.0750517,45.940375,47.3045,,,100,,,
164,CoS,4,300,0 — 10,1.475264,29.30025,5.1355,,,10,,,
164,CoS,4,300,10 — 20,1.4777438,13.971333,5.11525,,,20,,,
164,CoS,4,300,20 — 30,1.5040999,14.69475,6.1673333,,,30,,,
164,CoS,4,300,30 — 40,1.5105661,19.152,7.512125,,,40,,,
164,CoS,4,300,40 — 50,1.6296115,17.6295,9.0851667,,,50,,,
164,CoS,4,300,50 — 60,1.6606313,20.623,9.4645,,,60,,,
164,CoS,4,300,60 — 70,1.7660211,25.981,10.545167,,,70,,,
164,CoS,4,300,70 — 80,1.7974396,24.259667,9.598875,,,80,,,
164,CoS,4,300,80 — 90,1.903991,33.64925,13.310667,,,90,,,
164,CoS,4,300,90 — 100,1.9641951,44.043667,21.01175,,,100,,,
